country,date,confirmed,recovered,deaths,first_date,population,density,median_age,urban_population,confirmed_change,deaths_change,recovered_change,days_since_first_case
Aruba,2020-03-14,2,0,0,,106766,593,41,0.44,0,0,0,
Benin,2020-03-23,5,0,0,,12123200,108,19,0.48,3,0,0,
Burundi,2020-04-05,3,0,0,,11890784,463,17,0.14,0,0,0,
Cabo Verde,2020-03-24,3,0,1,,555987,138,28,0.68,0,1,0,
Chad,2020-03-20,1,0,0,,16425864,13,17,0.23,0,0,0,
Chad,2020-03-24,3,0,0,,16425864,13,17,0.23,2,0,0,
Chad,2020-03-26,3,0,0,,16425864,13,17,0.23,0,0,0,
Cuba,2020-03-31,186,8,6,2020-03-28,11326616,106,42,0.78,16,2,4,3
Equatorial Guinea,2020-03-26,12,0,0,,1402985,50,22,0.73,3,0,0,
Gambia,2020-04-06,4,2,1,,2416668,239,18,0.59,0,0,0,
Jamaica,2020-03-31,36,2,1,,2961167,273,31,0.55,0,0,0,
Libya,2020-04-01,10,1,0,,6871292,4,29,0.78,0,0,0,
Libya,2020-04-04,18,1,1,,6871292,4,29,0.78,7,0,0,
Mali,2020-03-31,28,0,2,,20250833,17,16,0.44,3,0,0,
Puerto Rico,2020-03-21,3,0,0,,2860853,323,44,,0,0,0,
Somalia,2020-03-30,3,0,0,,15893222,25,17,0.47,0,0,0,
Suriname,2020-03-14,1,0,0,,586632,4,29,0.65,1,0,0,
Suriname,2020-03-16,1,0,0,,586632,4,29,0.65,0,0,0,
Trinidad and Tobago,2020-03-18,7,0,0,2020-04-04,1399488,273,36,0.52,2,0,0,-17
Bangladesh,2020-04-04,70,30,8,2020-04-06,164689383,1265,28,0.39,9,2,4,-2
Belize,2020-04-01,3,0,0,,397628,17,25,0.46,0,0,0,
Bolivia,2020-04-04,139,1,10,2020-03-31,11673021,11,26,0.69,7,1,0,4
Cayman Islands,2020-03-15,1,0,0,,65722,274,,0.97,0,0,0,
French Guiana,2020-03-09,5,0,0,,298682,4,25,0.87,0,0,0,
Gabon,2020-03-19,1,0,0,,2225734,9,23,0.87,0,0,0,
Gabon,2020-03-28,7,0,1,,2225734,9,23,0.87,0,0,0,
Guinea,2020-04-02,52,0,0,2020-04-04,13132795,53,18,0.39,22,0,0,-2
Guinea,2020-04-07,144,5,0,2020-04-04,13132795,53,18,0.39,16,0,0,3
